sst,month,year
16.112592459020334,1,1997
18.66561624117647,1,1998
15.383729066201118,1,1999
15.195490651719625,1,2000
15.303252329067018,1,2001
15.866334352525563,1,2002
16.608778645896948,1,2003
15.593862985461465,1,2004
16.247293468584996,1,2005
15.141658382393247,1,2006
15.835220863054511,1,2007
14.751211145484461,1,2008
15.858114062124756,1,2009
15.327246635028681,2,1997
17.48618981605288,2,1998
14.43048897957814,2,1999
15.187898520801932,2,2000
14.549687500791666,2,2001
15.503694085681582,2,2002
16.468596057241378,2,2003
14.75199610812074,2,2004
16.167804859512195,2,2005
15.291145837480158,2,2006
15.706080460748362,2,2007
14.533875754072978,2,2008
15.474621193888888,2,2009
15.667082132052785,3,1997
17.03417934537002,3,1998
14.15111005988417,3,1999
14.925790981524448,3,2000
14.945443726244058,3,2001
14.825613467597137,3,2002
15.760909120545454,3,2003
15.256356756040201,3,2004
16.135540194378585,3,2005
14.02582911403015,3,2006
15.501196284794922,3,2007
14.66393358612676,3,2008
14.976736806780822,3,2009
16.054306937653465,4,1997
16.22747175212806,4,1998
13.944653191271676,4,1999
15.702826327368962,4,2000
14.67288222590909,4,2001
15.255618531041238,4,2002
15.096450131540786,4,2003
15.764006025240963,4,2004
15.30263429928719,4,2005
15.156215445469613,4,2006
15.047280887613516,4,2007
14.992379173209418,4,2008
15.372455078253493,4,2009
18.10789962566295,5,1997
17.054522863200795,5,1998
14.954498909719828,5,1999
16.414308185062893,5,2000
16.977555232872927,5,2001
15.591991139054505,5,2002
15.17770700848726,5,2003
17.339999962,5,2004
16.41042470993565,5,2005
17.131193176204544,5,2006
16.1241207447245,5,2007
15.914471955827901,5,2008
16.758007101660734,5,2009
18.765751598742003,6,1997
17.874478619603753,6,1998
16.70219694781818,6,1999
18.210290578523,6,2000
18.827494462660756,6,2001
17.28749995413793,6,2002
17.03407078861357,6,2003
17.705079673326694,6,2004
17.478719042809917,6,2005
18.896332968288707,6,2006
17.30783128562249,6,2007
17.779464252539682,6,2008
17.778505447586955,6,2009
20.39258637856046,7,1997
20.61813501361556,7,1998
19.12072500038,7,1999
19.341987753450088,7,2000
19.463375856687897,7,2001
18.72080001064,7,2002
20.039956022873902,7,2003
19.75984586438356,7,2004
19.81977610097015,7,2005
21.167201089847826,7,2006
19.984040868155137,7,2007
20.098653634255545,7,2008
19.638391877892428,7,2009
22.89854649985465,8,1997
22.059466779863016,8,1998
19.08136792851153,8,1999
20.56775419259484,8,2000
20.074045363293557,8,2001
19.51140643267833,8,2002
20.946132638674033,8,2003
20.581688971259755,8,2004
20.66410324045881,8,2005
22.03317608828092,8,2006
20.856951635818742,8,2007
21.44880593914428,8,2008
20.323249975933333,8,2009
23.771448868617423,9,1997
20.896893493747534,9,1998
19.053605798867522,9,1999
20.879474351013766,9,2000
20.413197476266095,9,2001
20.50122764577381,9,2002
21.420652193438734,9,2003
21.710585583683685,9,2004
20.716340748156423,9,2005
21.412920493944956,9,2006
20.48192309446154,9,2007
21.57703232699332,9,2008
21.526178447766554,9,2009
22.29017854010989,10,1997
19.066619316742425,10,1998
18.836632952736032,10,1999
19.3157143115,10,2000
19.721224523918366,10,2001
18.39543072589057,10,2002
20.115576929897436,10,2003
19.66017191505253,10,2004
19.1183253421244,10,2005
19.89408578426013,10,2006
18.613522023731655,10,2007
20.629550062082913,10,2008
20.362243907258538,10,2009
21.415443949738318,11,1997
17.380065049405204,11,1998
17.577211061768843,11,1999
17.6842741553598,11,2000
18.471499288295906,11,2001
17.94182479375,11,2002
18.10239826244186,11,2003
18.011797742490636,11,2004
17.672908717794677,11,2005
19.50990970773764,11,2006
17.574282166554454,11,2007
19.640500028590477,11,2008
18.71440677858757,11,2009
19.214420401159153,12,1997
15.506975098581952,12,1998
15.606122470658628,12,1999
16.495667136148555,12,2000
15.958174916983523,12,2001
17.19169299628692,12,2002
16.492057156813495,12,2003
16.531308633958723,12,2004
16.39495697533461,12,2005
17.60734464171375,12,2006
15.745895136419295,12,2007
17.03696363535448,12,2008
17.129068718965193,12,2009
